1	genericres01	Super Cheat             	SuperCheat                                                                                                                                                                                              	TestOnly                                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	56	120		icontech    	1	0	940
7500	fig16       	Interceptor             	This fast, short-range vessel is the most deadly of all fighters but hampered by its low fuel capacity, poor scan range, lack of shielding, and incompatibility with teleportation systems.             	HasResearch1 NotArena IsNotCivBelters                                                                                                                                                                                                                           	ResearchedDefender1                                                                                                                                                                                                                                             	31	120		icontech    	4	33	941
7500	fig17       	Stealth Fighter         	This more lightly armored combat craft is ideal for hit-and-run attacks. It has a low sensor signature, the ability to cloak, and very high-end scanners.                                               	HasElectronics1 NotArena IsNotCivBelters                                                                                                                                                                                                                        	ResearchedStealth1                                                                                                                                                                                                                                              	26	120		icontech    	3	23	941
10000	bom07b      	Heavy Bomber            	This large, lumbering craft is designed for base assault. It is less vulnerable to enemies but still requires turret support to be effective.                                                           	HasStarbase2 ResearchedBomber1 NotArena IsNotCivBelters IsNotCivRix                                                                                                                                                                                             	ResearchedBomber2                                                                                                                                                                                                                                               	35	120		icontech    	1	50	941
5000	acs34       	Large Shield 2          	Develops an improved version of the Large Shield 1 which can absorb more damage.                                                                                                                        	HasShipyard1 NotArena                                                                                                                                                                                                                                           	ResearchedLgShield2                                                                                                                                                                                                                                             	111	120		icontech    	5	422	944
5000	acs38       	Heavy Sig cloak 2       	A signature supression system that almost completely blinds enemy radar but rapidly drains energy rapidly while active.                                                                                 	HasStarbase2 ResearchedCapCloak1 NotArena                                                                                                                                                                                                                       	ResearchedCapCloak2                                                                                                                                                                                                                                             	120	120		icontech    	1	611	944
80000	acs01       	Reinforcement           	Research this to call in the reinforcements and WIN THE GAME!                                                                                                                                           	unavailable                                                                                                                                                                                                                                                     	WinTheGame                                                                                                                                                                                                                                                      	1	600		icontech    	0	0	940
10000	ss24a       	Upgrade Garrison        	This upgrade toughens the Garrison and makes available several key ship upgrades.                                                                                                                       	HasStarbase1 NotArena IsNotCivIronLeague IsNotCivBios IsNotCivBelters                                                                                                                                                                                           	ResearchedStarbase2                                                                                                                                                                                                                                             	171	120		icontech    	1	0	945
10000	fig17       	Adv Stealth Ftr         	This more lightly armored combat craft is ideal for hit-and-run attacks. It has a low sensor signature, the ability to cloak, and very high-end scanners.                                               	HasElectronics2 ResearchedStealth1 NotArena IsNotCivBelters                                                                                                                                                                                                     	ResearchedStealth2                                                                                                                                                                                                                                              	24	120		icontech    	3	22	941
15000	cap01       	Missile Frigate         	This capital-scale craft is capable of carrying a great deal of missile ordnance to supplement multiple gun turrets. It is essentially a tougher version of the Bomber, best used to attack bases.      	HasShipyard1 NotArena IsNotCivBios IsNotCivCrimsonWing IsNotCivBelters                                                                                                                                                                                          	ResearchedCapital1                                                                                                                                                                                                                                              	51	120		icontech    	5	84	941
10000	fig16       	Heavy Interceptor       	This fast, short-range vessel is the most deadly of all fighters but hampered by its low fuel capacity, poor scan range, lack of shielding, and incompatibility with teleportation systems.             	HasResearch2 ResearchedDefender1 NotArena IsNotCivBelters                                                                                                                                                                                                       	ResearchedDefender2                                                                                                                                                                                                                                             	29	120		icontech    	4	32	941
